@relation A

@attribute _textString_ string
@attribute _pos_ numeric
@attribute _neg_ numeric
@attribute _PosToNegRatio_ numeric
@attribute _fScore_ numeric
@attribute _sentiRatio_ numeric
@attribute _despair_ numeric
@attribute _horror_ numeric
@attribute _smugness_ numeric
@attribute _edginess_ numeric
@attribute _aggression_ numeric
@attribute _repentance_ numeric
@attribute _hopelessness_ numeric
@attribute _love_ numeric
@attribute _depression_ numeric
@attribute _malevolence_ numeric
@attribute _affection_ numeric
@attribute _vindictiveness_ numeric
@attribute _sadness_ numeric
@attribute _gloom_ numeric
@attribute _timidity_ numeric
@attribute _disapproval_ numeric
@attribute _impatience_ numeric
@attribute _negative-positive-emotion_ numeric
@attribute _fury_ numeric
@attribute _calmness_ numeric
@attribute _protectiveness_ numeric
@attribute _alienation_ numeric
@attribute _pessimism_ numeric
@attribute _self-depreciation_ numeric
@attribute _contentment_ numeric
@attribute _world-weariness_ numeric
@attribute _anger_ numeric
@attribute _sorrow_ numeric
@attribute _sulkiness_ numeric
@attribute _misery_ numeric
@attribute _distress_ numeric
@attribute _resentment_ numeric
@attribute _self-pride_ numeric
@attribute _sympathy_ numeric
@attribute _negative-fear_ numeric
@attribute _devotion_ numeric
@attribute _discomfiture_ numeric
@attribute _carefreeness_ numeric
@attribute _liking_ numeric
@attribute _apprehension_ numeric
@attribute _comfortableness_ numeric
@attribute _scare_ numeric
@attribute _panic_ numeric
@attribute _negative-emotion_ numeric
@attribute _approval_ numeric
@attribute _positive-hope_ numeric
@attribute _hysteria_ numeric
@attribute _enthusiasm_ numeric
@attribute _frustration_ numeric
@attribute _friendliness_ numeric
@attribute _envy_ numeric
@attribute _cheerlessness_ numeric
@attribute _emotion_ numeric
@attribute _oppression_ numeric
@attribute _ingratitude_ numeric
@attribute _anxiety_ numeric
@attribute _greed_ numeric
@attribute _fearlessness_ numeric
@attribute _insecurity_ numeric
@attribute _disgust_ numeric
@attribute _forlornness_ numeric
@attribute _hostility_ numeric
@attribute _discouragement_ numeric
@attribute _gratitude_ numeric
@attribute _cynicism_ numeric
@attribute _humility_ numeric
@attribute _Thing_ numeric
@attribute _general-dislike_ numeric
@attribute _positive-emotion_ numeric
@attribute _daze_ numeric
@attribute _annoyance_ numeric
@attribute _jealousy_ numeric
@attribute _benevolence_ numeric
@attribute _hate_ numeric
@attribute _admiration_ numeric
@attribute _attrition_ numeric
@attribute _resignation_ numeric
@attribute _murderousness_ numeric
@attribute _humbleness_ numeric
@attribute _closeness_ numeric
@attribute _captivation_ numeric
@attribute _dislike_ numeric
@attribute _melancholy_ numeric
@attribute _heartlessness_ numeric
@attribute _joy_ numeric
@attribute _cat_ {Male20b,Female20b}

@data
nulo,3,-5,0,2,5,0,1.29,0,0,0,0.65,0,1.29,0,0,1.29,0,3.24,0.65,0,0,0,3.88,0,0,0,0,0,0,0,0,1.29,0.65,0,0,3.88,0,0,0,1.29,0,0,0,1.94,0,3.88,0,0,16.15,0,1.94,0,0,1.29,1.29,0,0,35.54,0,0,5.17,0,1.29,1.29,0,0,0,0,0,0,0,0,3.87,15.51,1.29,0,0,0,0,0,0,0,0,3.88,0,0,1.29,0.65,0,3.88,Male20b
nulo,3,-4,1,1,5,0.64,2.55,0,0,0,0,0,0,0,0,1.91,0,0,0,1.27,0,0,1.91,0,0,0,0,0,0,7.64,0,0,0,0,0,4.46,0,0,0,3.82,0,0,0,7.01,0,0,0,0,16.56,0,1.27,0,0,0,0,0,0,45.21,0,0,4.46,0,1.27,0,1.27,0,0,0,0,0,0,0,7.64,26.74,0,0,0,0,2.55,0,0,0.64,0,1.91,0,0,1.27,0,0,7.64,Male20b
nulo,3,-4,0,1,5,0,0,0,0,0,0,0,0,1.88,0,0,0,1.88,0,1.88,0,0,0,0,3.76,0,0,0,0,0,0,2.82,0,0,0,0.94,0,0,0,1.88,0,0,0,5.64,0,0,0,0,46.06,0,1.88,0,0,3.76,0,0,0,59.22,0,0,2.82,0,0,0,0.94,0,0,0,0,0,0,0,31.96,13.16,1.88,0.94,0,0,13.16,0,0,0,0,0,0,0,0.94,0,0,1.88,Male20b
nulo,4,-4,0,2,5,0,0,0,1.57,0,0,0,2.35,0,0,1.57,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,9.42,0,0,0,7.85,0,0,0,0.78,0,0,0,0,25.12,0,0,0,0,0,0,0,0,32.96,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0,6.28,7.84,0,1.57,0,0,1.57,0,0,0,0,0,0,0,0,0,0,3.14,Male20b
nulo,3,-5,0,1,5,0,0,0,3.9,0,0,0,0,11.71,0,0,0,21.47,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0.98,0,0,0,5.85,0,0,0,7.81,0,0,0,0,0,0,6.83,0,40.01,0,1.95,0,0,0,0,0,0,53.66,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0.98,13.65,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Male20b
nulo,3,-4,0,1,1,0,0,0,0,0,2.7,0,4.05,0,0,0,0,2.7,0,0,2.7,0,0,0,0,0,0,0,0,0,0,2.02,2.7,0,0,0,0,0,0,2.7,0,0,0,0,2.7,0,0,0,11.46,0,0,0,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,4.05,0,2.02,0,0,0.67,0,0,0,0,0,0,0,2.7,0,0,0,Male20b
nulo,3,-5,0,1,5,0,1.52,0,1.52,0,0,0,0,0,0,3.04,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,13.69,0,0,0,3.04,0,0,0,1.52,0,0,1.52,0,27.37,0,6.84,0,0,0,0,0,0,40.29,0,0,15.21,0,1.52,0,0,0,0,0,0,0,0,0,7.6,12.92,0,6.08,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,Male20b
nulo,4,-4,0,1,5,0,0,0,0,0,0,0,0,3.14,0,3.14,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,14.14,0,0,0,0,0,0,0,5.5,0,0,0,0,19.64,1.57,0,0,0,0,3.14,0,0,32.21,0,0,14.14,0,0,0,1.57,0,0,0,0,0,0,0,2.36,12.57,0,0.79,0,0,0,0,0,0,0,0,0,0,1.57,0,0,3.93,Male20b
nulo,4,-5,1,1,1,2.53,0,0,0,0,0,0,7.58,1.68,0,0,0,1.68,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,1.68,0,0,1.68,0,9.25,0,1.68,0,0,1.68,0,0,0,24.4,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,Male20b
nulo,4,-4,1,1,5,0,0,0,0,0,0,0,6.38,0,0,6.38,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,6.38,0,0,0,6.38,0,0,0,2.13,0,0,0,2.13,0,0,2.13,0,15.95,0,4.25,0,0,0,0,0,0,37.22,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,7.44,21.27,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,2.13,Male20b
