@relation A

@attribute pos numeric
@attribute neg numeric
@attribute PosToNegRatio numeric
@attribute fScore numeric
@attribute sentiRatio numeric
@attribute despair numeric
@attribute horror numeric
@attribute smugness numeric
@attribute edginess numeric
@attribute aggression numeric
@attribute repentance numeric
@attribute hopelessness numeric
@attribute love numeric
@attribute depression numeric
@attribute malevolence numeric
@attribute affection numeric
@attribute vindictiveness numeric
@attribute sadness numeric
@attribute gloom numeric
@attribute timidity numeric
@attribute disapproval numeric
@attribute impatience numeric
@attribute negative-positive-emotion numeric
@attribute fury numeric
@attribute calmness numeric
@attribute protectiveness numeric
@attribute alienation numeric
@attribute pessimism numeric
@attribute self-depreciation numeric
@attribute contentment numeric
@attribute world-weariness numeric
@attribute anger numeric
@attribute sorrow numeric
@attribute sulkiness numeric
@attribute misery numeric
@attribute distress numeric
@attribute resentment numeric
@attribute self-pride numeric
@attribute sympathy numeric
@attribute negative-fear numeric
@attribute devotion numeric
@attribute discomfiture numeric
@attribute carefreeness numeric
@attribute liking numeric
@attribute apprehension numeric
@attribute comfortableness numeric
@attribute scare numeric
@attribute panic numeric
@attribute negative-emotion numeric
@attribute approval numeric
@attribute positive-hope numeric
@attribute hysteria numeric
@attribute enthusiasm numeric
@attribute frustration numeric
@attribute friendliness numeric
@attribute envy numeric
@attribute cheerlessness numeric
@attribute emotion numeric
@attribute oppression numeric
@attribute ingratitude numeric
@attribute anxiety numeric
@attribute greed numeric
@attribute fearlessness numeric
@attribute insecurity numeric
@attribute disgust numeric
@attribute forlornness numeric
@attribute hostility numeric
@attribute discouragement numeric
@attribute gratitude numeric
@attribute cynicism numeric
@attribute humility numeric
@attribute Thing numeric
@attribute general-dislike numeric
@attribute positive-emotion numeric
@attribute daze numeric
@attribute annoyance numeric
@attribute jealousy numeric
@attribute benevolence numeric
@attribute hate numeric
@attribute admiration numeric
@attribute attrition numeric
@attribute resignation numeric
@attribute murderousness numeric
@attribute humbleness numeric
@attribute closeness numeric
@attribute captivation numeric
@attribute dislike numeric
@attribute melancholy numeric
@attribute heartlessness numeric
@attribute joy numeric
@attribute cat {TerrorData,HorrorData}

@data
4,-5,0,2,5,0,6.93,0,0,0,0,0,2.77,0,0,5.55,0,2.77,2.77,0,2.08,0,0,0,2.08,0,0,0,0,0,0,1.39,0.69,0,2.77,1.39,0,0,0,3.47,0,0,0,1.39,2.77,1.39,0,0,0,1.39,3.47,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,1.39,0,1.39,0,6.93,TerrorData
4,-5,0,2,5,2.47,1.65,0,0,0,0,0,0,0,0,1.24,0,2.47,0.82,0,0,0,0,1.65,1.65,0,0,0,0,0,0,2.47,1.65,0,2.06,0,0,0,0,1.24,0,0,0,0,0,0.82,0,0,0,1.65,5.35,0,0,0,0.82,0,0,0,0,0,1.65,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,6.18,0,0,0,0,0.82,2.06,0,0.82,0,0,0,0,0.82,0,TerrorData
4,-4,0,2,1,0.75,1.88,0,0,0,0.75,0,0,0.75,0.38,0.56,0,0.38,1.88,0,0,0.38,0,0,1.5,0,0,0,0,0,0,0,0,0,0.38,0.56,0,0,0,2.63,0,0,0,0,0.19,0.38,0,0,0,0,0.56,0,0.56,0,0,0.75,0,0,0.38,0,2.25,0,0.38,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.38,0,0.75,0,0.38,TerrorData
4,-5,0,2,5,0,1.85,0,0,0,0.15,0.31,1.54,0.31,0,2.77,0,0.92,0,0,0,1.54,0,1.85,0.92,0,0.31,0,0,1.54,0,0.62,3.54,0,3.08,0.31,0,0,0.62,1.23,0.15,0.31,0,2.15,0.31,0.62,0.15,0,0,1.23,1.54,0,1.23,0,0,0.62,0,0,0,0.31,1.39,0,0.62,0,0.31,0,0.62,0,0,0,0,0,0.46,0.31,0.31,0.77,0,0,2.46,0.15,1.23,2.15,0,0,0,0.31,0.31,0,0.31,2.46,TerrorData
4,-4,0,2,5,0,1.2,0,0,0,2.4,0,2.4,0.6,0,0.3,0,6,0,0.6,0,0,0,0,3,0,0,0,0,0.6,0,1.5,2.4,0,1.5,0.3,0,0,0,0.9,0,0,0,1.8,0,0,0,0,0,0.6,5.1,0,0.6,0,1.2,0.6,0,0,0,0,1.8,0,1.8,0,0.6,0,0,0,1.2,0,0,0,0,0,0,1.5,0.6,0,0,0,1.8,0,0,0,0,0,0,0,0,1.8,TerrorData
4,-5,0,2,5,0.88,2.04,0,0,0,0,0,2.04,0,0.44,1.31,0,1.53,1.97,0.29,0.15,0.58,0,0.58,2.19,0,0,0,0,0.88,0,0.58,2.04,0,1.31,1.09,0,0,0.15,2.99,0,0,0,0.44,0.95,0.73,0.44,0,0,0.58,1.53,0,0.73,0,0,0.36,0,0,0.29,0,1.75,0,0.58,0.15,0.15,0.29,0.88,0,0,0,0,0,0,0.15,1.17,0.58,0,0,0.58,0,0.44,0.44,0,0,0,0.29,0,0.8,0.44,1.82,TerrorData
4,-4,0,2,5,1.42,1.18,0,0,0,0.95,0.24,0.24,0,0,0.35,0,0.47,1.42,0,0,0.24,0,0,1.65,0,0,0,0,0.71,0,0.47,1.89,0,1.06,0.12,0.24,0,0.24,5.08,0,0,0,0.71,0.47,0.47,0,0,0,0.59,4.25,0,0.95,0,0,0,0,0,0.24,0,2.6,0,0.24,0,0,0,0.24,0,0.24,0,0,0,0,0,0.24,0,0.24,0,0,0,0,0.24,0,0,0,0.71,0,0.24,0,3.31,TerrorData
3,-5,1,2,1,0,0.36,0,0,0,0,0,0.36,0,0.73,0.73,0,1.46,0,0,1.09,0,0,0.73,5.09,0,0.73,0,0,0.73,0,0.36,0,0.73,1.46,0.36,0,0,0,2.91,0,0,0,2.18,0.36,0,0,0,0,2.18,0.73,0,0,0,0,0,0,0,0.73,0,0.73,0,0.73,0,0,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,TerrorData
4,-5,0,2,5,0,2.82,0,0,0,0.45,0,0.3,0.3,0,1.78,0,1.78,1.48,0.3,0,0.89,0,0.59,1.19,0,0,0,0,4.01,0,1.48,2.08,0,0.15,0.89,0,0,0,3.27,0,0,0,0.45,0.74,0.3,0,0,0,0.3,1.04,0,0,0,0,0.59,0,0,0.3,0,1.04,0,1.19,0,0.3,0.3,0,0,0,0,0.3,0,0.15,0,0.3,0.15,0,0,0.74,0.15,2.08,0.45,0,0,0,0.3,0,0.3,0.3,0.59,TerrorData
4,-4,0,2,5,0,1.14,0,0,0,2.29,0,2.29,0,0,1.14,0,8.01,0,2.29,0,1.14,0,0,0,0,0,0,0,4.58,0,1.14,6.86,0,0.57,0.57,0,0,0,0,0,0,0,1.14,1.14,0,0,0,0,0,6.29,0,1.14,0,0,0,0,0,1.14,0,2.29,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,2.29,0.57,0,1.14,0,3.43,0,1.14,0,0,0,6.29,TerrorData
