@relation A

@attribute pos numeric
@attribute neg numeric
@attribute PosToNegRatio numeric
@attribute fScore numeric
@attribute sentiRatio numeric
@attribute despair numeric
@attribute horror numeric
@attribute smugness numeric
@attribute edginess numeric
@attribute aggression numeric
@attribute repentance numeric
@attribute hopelessness numeric
@attribute love numeric
@attribute depression numeric
@attribute malevolence numeric
@attribute affection numeric
@attribute vindictiveness numeric
@attribute sadness numeric
@attribute gloom numeric
@attribute timidity numeric
@attribute disapproval numeric
@attribute impatience numeric
@attribute negative-positive-emotion numeric
@attribute fury numeric
@attribute calmness numeric
@attribute protectiveness numeric
@attribute alienation numeric
@attribute pessimism numeric
@attribute self-depreciation numeric
@attribute contentment numeric
@attribute world-weariness numeric
@attribute anger numeric
@attribute sorrow numeric
@attribute sulkiness numeric
@attribute misery numeric
@attribute distress numeric
@attribute resentment numeric
@attribute self-pride numeric
@attribute sympathy numeric
@attribute negative-fear numeric
@attribute devotion numeric
@attribute discomfiture numeric
@attribute carefreeness numeric
@attribute liking numeric
@attribute apprehension numeric
@attribute comfortableness numeric
@attribute scare numeric
@attribute panic numeric
@attribute negative-emotion numeric
@attribute approval numeric
@attribute positive-hope numeric
@attribute hysteria numeric
@attribute enthusiasm numeric
@attribute frustration numeric
@attribute friendliness numeric
@attribute envy numeric
@attribute cheerlessness numeric
@attribute emotion numeric
@attribute oppression numeric
@attribute ingratitude numeric
@attribute anxiety numeric
@attribute greed numeric
@attribute fearlessness numeric
@attribute insecurity numeric
@attribute disgust numeric
@attribute forlornness numeric
@attribute hostility numeric
@attribute discouragement numeric
@attribute gratitude numeric
@attribute cynicism numeric
@attribute humility numeric
@attribute Thing numeric
@attribute general-dislike numeric
@attribute positive-emotion numeric
@attribute daze numeric
@attribute annoyance numeric
@attribute jealousy numeric
@attribute benevolence numeric
@attribute hate numeric
@attribute admiration numeric
@attribute attrition numeric
@attribute resignation numeric
@attribute murderousness numeric
@attribute humbleness numeric
@attribute closeness numeric
@attribute captivation numeric
@attribute dislike numeric
@attribute melancholy numeric
@attribute heartlessness numeric
@attribute joy numeric
@attribute cat {MaleBlog,FemaleBlog}

@data
4,-4,1,2,1,0.19,0.19,0,0.19,0.19,0,0,0.19,0,0,0.66,0,0.56,0,0.19,0.09,0.38,0,0,0.85,0,0,0,0,0.19,0,0.66,0,0,0.94,2.26,0,0,0,0.19,0,0,0,0.94,0,0,0,0.19,0,0.56,0.75,0,0.19,0,0.56,0,0,0,0,0,0.19,0,0.75,0,0,0,0,0,0.19,0,0,0,0.38,0,0,0.47,0,0,0.19,0,0,0,0,0,0,0,0,0,0,2.44,MaleBlog
4,-5,1,2,1,0,0.54,0,0,0,0.11,0,1.72,0.11,0,1.08,0,0.75,0,0,0,0,0,0.11,0.32,0,0.22,0,0,1.29,0,0.65,0.22,0,0.27,0.92,0.11,0,0,0.16,0.05,0,0,0.75,0.32,0,0.11,0,0,0.48,0.92,0,0.32,0,0,0.11,0,0,0,0,0.16,0,0.27,0,0.11,0.11,0,0,0.22,0,0,0,0,0,0,0.22,0,0,0.22,0,0,0.16,0,0,0,0.22,0,0,0,1.24,MaleBlog
5,-5,1,2,1,0.09,0.09,0,0,0.09,0.09,0,1.6,0,0,0.61,0,0.28,0,0,0,0.09,0,0,0.71,0,0.09,0,0,1.13,0,1.03,0.09,0,0.19,0.33,0,0,0,0.42,0,0,0,0.99,0.28,0.38,0.19,0.09,0,0,1.22,0,0.19,0.09,0.19,0.09,0,0,0.19,0,0,0,0.38,0,0.75,0,0,0,0.38,0,0,0,0.19,0.19,0.47,0.42,0,0,0.19,0,0,0.09,0,0.28,0,0.09,0,0,0,2.4,MaleBlog
4,-5,1,2,1,0,0.99,0,0,0,0,0,0.99,0.33,0,1.81,0,0.66,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.66,0,0,0.16,2.14,0,0,0.33,0,0.33,0,0,0.66,0,0.33,0,0,0,0.33,1.97,0,0.99,0,0,0,0,0,0,0,0.33,0,0.99,0,0,0,0,0,0,0,0.33,0,0.33,0,0,0.33,0,0,0.33,0,0,0.49,0,0.99,0,0,0,0,0,3.13,MaleBlog
4,-5,1,2,1,0.26,0.07,0,0,0,0.13,0,1.24,0,0,2.54,0,0.52,0.26,0.13,0.13,0,0,0.13,0.13,0,0.07,0,0,0.33,0,0.85,0.13,0,0.52,0.85,0,0,0.13,0.13,0.07,0,0,0.65,0.07,0.52,0,0.13,0.13,0.13,1.69,0,0.13,0,0.13,0,0,0,0,0,0,0,0.13,0,0.26,0,0,0,0,0.13,0,0,0.26,0,0,0.72,0,0,0.13,0,0,0,0,0,0,0,0,0.13,0,1.63,MaleBlog
5,-5,1,2,1,0,0.23,0,0,0,0,0,1.6,0,0,0.68,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0.68,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,1.6,0,0.91,0.46,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0.23,0,0,0,0.23,0,0,0,1.6,MaleBlog
5,-5,1,2,1,0,0,0,0,0,0,0,1.62,0.72,0,2.16,0,0,0,0.36,0,0,0,0,0.72,0,0.36,0,0,0.72,0,1.08,0.36,0,0.36,0.18,0,0.36,0,0,0,0,0,0.54,0,0.36,0,0,0.36,0,1.8,0,0.72,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.36,0,0.72,0,0,0,0.36,0,0,0,0,0,0,0,0,0,5.03,MaleBlog
4,-4,0,2,1,0,0.49,0,0.49,0,0,0,1.22,0,0,0.49,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0.98,0,0.49,0,0,0.49,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0.49,0,0,0,2.93,MaleBlog
5,-4,1,2,1,0,0,0,0,0,0,0,2.21,0,0,1.1,0,0,0,0,0,0,0,0,0.88,0,0,0,0,1.55,0,0,0.44,0,0.44,3.76,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0.22,0.44,0,0.44,0,0.88,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0.44,0,0,0,0,0,0.66,0,0,0,1.55,MaleBlog
5,-5,1,2,1,0.12,0.18,0,0.12,0,0.29,0,1.18,0,0.12,1.42,0,0.94,0.12,0,0.06,0,0,0.71,1.06,0,0,0.12,0,1.06,0,0.83,0.12,0,0.59,1,0,0,0.12,0.29,0.24,0,0,0.65,0.06,0,0.12,0.12,0.12,0.29,1.83,0,0.24,0.24,0.35,0,0,0,0,0,0,0,0.59,0,0.12,0,0.24,0,0.24,0,0,0,0.65,0.12,0.24,0.94,0.12,0,1.24,0.24,0.12,0.24,0,0,0,0.24,0.12,0.12,0.12,1.42,MaleBlog
