@relation A

@attribute pos numeric
@attribute neg numeric
@attribute PosToNegRatio numeric
@attribute fScore numeric
@attribute sentiRatio numeric
@attribute despair numeric
@attribute horror numeric
@attribute smugness numeric
@attribute edginess numeric
@attribute aggression numeric
@attribute repentance numeric
@attribute hopelessness numeric
@attribute love numeric
@attribute depression numeric
@attribute malevolence numeric
@attribute affection numeric
@attribute vindictiveness numeric
@attribute sadness numeric
@attribute gloom numeric
@attribute timidity numeric
@attribute disapproval numeric
@attribute impatience numeric
@attribute negative-positive-emotion numeric
@attribute fury numeric
@attribute calmness numeric
@attribute protectiveness numeric
@attribute alienation numeric
@attribute pessimism numeric
@attribute self-depreciation numeric
@attribute contentment numeric
@attribute world-weariness numeric
@attribute anger numeric
@attribute sorrow numeric
@attribute sulkiness numeric
@attribute misery numeric
@attribute distress numeric
@attribute resentment numeric
@attribute self-pride numeric
@attribute sympathy numeric
@attribute negative-fear numeric
@attribute devotion numeric
@attribute discomfiture numeric
@attribute carefreeness numeric
@attribute liking numeric
@attribute apprehension numeric
@attribute comfortableness numeric
@attribute scare numeric
@attribute panic numeric
@attribute negative-emotion numeric
@attribute approval numeric
@attribute positive-hope numeric
@attribute hysteria numeric
@attribute enthusiasm numeric
@attribute frustration numeric
@attribute friendliness numeric
@attribute envy numeric
@attribute cheerlessness numeric
@attribute emotion numeric
@attribute oppression numeric
@attribute ingratitude numeric
@attribute anxiety numeric
@attribute greed numeric
@attribute fearlessness numeric
@attribute insecurity numeric
@attribute disgust numeric
@attribute forlornness numeric
@attribute hostility numeric
@attribute discouragement numeric
@attribute gratitude numeric
@attribute cynicism numeric
@attribute humility numeric
@attribute Thing numeric
@attribute general-dislike numeric
@attribute positive-emotion numeric
@attribute daze numeric
@attribute annoyance numeric
@attribute jealousy numeric
@attribute benevolence numeric
@attribute hate numeric
@attribute admiration numeric
@attribute attrition numeric
@attribute resignation numeric
@attribute murderousness numeric
@attribute humbleness numeric
@attribute closeness numeric
@attribute captivation numeric
@attribute dislike numeric
@attribute melancholy numeric
@attribute heartlessness numeric
@attribute joy numeric
@attribute cat {Male49c,Female49cc}

@data
4,-5,0,2,5,0,2.79,0,0,0,0,0,0.35,0,0,0.35,0,1.39,0,0,0,0,0,0,0,0,0.35,0,0,2.79,0,2.09,1.39,0,0.7,5.57,0,0,0,2.09,0,0,0,0.7,0,0,0.7,0,0,0,1.74,0,0,0,0,0.7,0,0,6.27,0,0.7,0,0,0,0,0,0,0,0.7,0,0,0,5.23,0,4.18,1.74,0,0,7.67,0,0,0,0,0,0,0.7,0,0,0,2.44,Male49c
4,-5,0,2,5,0,5.03,0,0,0,0,0,0.46,0.92,0,1.37,0,2.75,0,0,0,0,0,0,1.83,0,0,0,0,0,0,3.2,2.75,0,0,0.92,0.92,0,0,3.2,0.46,0,0,0,0,0,1.37,0.92,1.83,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0.92,0.46,0,0,8.24,0,0,0,0,0,0,0,0,0,0.92,0,Male49c
3,-5,0,2,5,1.29,5.16,0,0,0,0,0,0,0,0,0.64,0,1.29,0,0,0,0,0,0,0,0,0,0,0,1.93,0,3.87,5.16,0,0,7.09,0,0,0,3.22,0.64,0,0,0,1.29,0,0,0,0,0,1.29,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58,1.29,3.87,0,0,0,5.16,0,0,1.29,0,0,0,0,0,0,1.29,2.58,Male49c
4,-5,0,2,5,0,2.97,0,0.74,0,0,0,1.85,0,0,2.23,0,0.74,0,0,0,0.74,0,1.48,0,0.74,0,0,0,0,0,2.97,0,0,0,2.97,0,0,2.23,1.85,0,0,0,0.37,0,0,0.37,0,0,0,4.45,0,0,0,0,0,0,0,6.68,0,0.37,0,0,0,0,0,0.74,0,0,0,0,0,4.45,0,0,0,0,0,1.48,0,0,0.74,0,0,0,0,1.48,0,0,0.74,Male49c
4,-5,0,2,5,0.4,0,0,0,0,0,0,0.6,0,0,2.98,0,2.78,0.4,0,0,0,0,0.4,0.6,0,0.2,0,0,0,0,3.57,2.18,0,0.4,1.19,0.4,0,0,1.19,0,0,0,0.79,0.4,0,0.6,0,0,0,2.38,0,0,0,0.4,0,0,0,3.57,0,0,0,0.4,0,0.79,0,0,0.6,0,0,0,0,2.78,0,1.59,0.6,0,0,0.79,0,0,0.2,0,0,0,0,0,0,0,0.99,Male49c
3,-5,0,2,5,0,6.86,0,0.76,0,0,0,1.52,0.38,0,0.76,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,2.29,0,0,3.43,0,0,0,0.76,0,0,0,1.52,0,0,0.76,0,0,0.76,2.29,0,0,0,0,0,0,0,3.81,0,0,0,0.76,0,2.29,0,0,0,0,0,0,0,1.52,0,2.29,0,0,0,1.52,0,0,1.9,0,0,0,0,0,0,1.52,0,Male49c
3,-5,0,2,5,0,1.63,0,0,0,0,0,0,0,0,0,0,21.14,0,0,0,0,0,3.25,0,0,0,0,0,0,0,1.63,1.63,0,1.63,4.88,1.63,0,0,0,0,0,0,1.63,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,4.88,0,0,0,1.63,0,0,0,0,0,0,0,0,0,3.25,0,6.5,1.63,0,0,6.5,0,1.63,0,0,0,0,0,0,0,0,4.07,Male49c
3,-5,0,2,5,0,2.6,0,2.6,0,0,0,1.3,0,0,1.3,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,11.68,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,2.6,0,1.3,0,0,0,0,0,2.6,0,0,0,2.6,0,0,0,0,0,0,0,1.3,0,3.89,0,5.19,1.3,0,0,3.89,0,0,0,0,0,0,0,0,0,2.6,1.3,Male49c
3,-4,0,2,5,1.48,8.9,0,1.48,0,0,0,0,0,0,0,0,3.71,0.74,0,0,0,0,0,1.48,0,0,0,0,0,0,2.97,1.48,0,1.48,2.22,0,0,0,0.74,0,0,0,0,0,1.48,0.74,0,0,0,1.48,0,1.48,0,0,0,0,0,4.45,0,1.48,0,1.48,1.48,0,0,0,0,0,0,0,0,2.97,0,1.48,0,0,0,1.48,0,1.48,1.48,0,0,0,0,0,0,0,1.48,Male49c
4,-5,0,2,5,0,2.68,0,0,0,0.89,0,1.34,0,0,1.34,0,2.68,0,0.89,0,0,0,1.79,0.89,0,0,0,0,0,0,2.68,0.89,0,0,4.47,0,0,0,3.58,0,0,0,0,0,0,0.45,0,0,2.68,1.79,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0.89,0,0,0,0,0,4.92,0,1.79,0.45,0,0,6.71,0,0,1.79,0,0,0,0,0,0,0,0.89,Male49c
