'abandonment', Angle: 172.647614, Intensity: 0.500000
'abate', Angle: 90.924049, Intensity: 0.500000
'abdicate', Angle: 270.909393, Intensity: 0.250000
'abject', Angle: 249.390320, Intensity: 0.500000
'abnormal', Angle: 179.075958, Intensity: 0.250000
'abolish', Angle: 270.000000, Intensity: 0.500000
'abominable', Angle: 217.782623, Intensity: 0.650000
'abrasive', Angle: 209.461472, Intensity: 0.600000
'abscond', Angle: 209.859009, Intensity: 0.500000
'absence', Angle: 131.633545, Intensity: 0.240000
'absent', Angle: 136.636581, Intensity: 0.500000
'absent-minded', Angle: 139.548035, Intensity: 0.500000
'absentee', Angle: 270.000000, Intensity: 0.010000
'absurd', Angle: 210.419586, Intensity: 0.510000
'absurdity', Angle: 209.232819, Intensity: 0.500000
'abyss', Angle: 180.612762, Intensity: 0.750000
'accost', Angle: 222.055954, Intensity: 0.500000
'accursed', Angle: 232.889618, Intensity: 0.760000
'accuse', Angle: 197.271744, Intensity: 0.500000
'ache', Angle: 171.218842, Intensity: 0.500000
'acrimonious', Angle: 229.248459, Intensity: 0.500000
'acrimony', Angle: 225.971024, Intensity: 0.500000
'addict', Angle: 136.618103, Intensity: 0.500000
'addiction', Angle: 137.910843, Intensity: 0.500000
'admonish', Angle: 79.323647, Intensity: 0.500000
'admonition', Angle: 76.970810, Intensity: 0.500000
'adulterate', Angle: 194.813461, Intensity: 0.500000
'adulteration', Angle: 193.706955, Intensity: 0.510000
'adultery', Angle: 155.095230, Intensity: 0.490000
'adversary', Angle: 245.942657, Intensity: 0.490000
'adverse', Angle: 187.869080, Intensity: 0.500000
'adversity', Angle: 189.926239, Intensity: 0.490000
'affectation', Angle: 190.676361, Intensity: 0.500000
'afflict', Angle: 246.317902, Intensity: 0.500000
'affliction', Angle: 246.740784, Intensity: 0.500000
'against', Angle: 194.036240, Intensity: 0.250000
'aggravate', Angle: 255.963760, Intensity: 0.510000
'aggravation', Angle: 254.744873, Intensity: 0.500000
'aggression', Angle: 261.148010, Intensity: 0.700000
'aggressive', Angle: 260.968933, Intensity: 0.750000
'aggressiveness', Angle: 260.362457, Intensity: 0.700000
'aggressor', Angle: 260.186493, Intensity: 0.750000
'aggrieve', Angle: 253.128571, Intensity: 0.510000
'aghast', Angle: 270.000000, Intensity: 0.490000
'agitate', Angle: 212.436523, Intensity: 0.510000
'agitation', Angle: 210.488937, Intensity: 0.500000
'agitator', Angle: 207.360779, Intensity: 0.640000
'agonize', Angle: 255.302673, Intensity: 0.500000
'ail', Angle: 170.311218, Intensity: 0.500000
'ailment', Angle: 140.194427, Intensity: 0.500000
'aimlessly', Angle: 98.259438, Intensity: 0.250000
'alarming', Angle: 236.181763, Intensity: 0.500000
'alas', Angle: 270.000000, Intensity: 0.500000
'alibi', Angle: 135.000000, Intensity: 0.010000
'alien', Angle: 98.130104, Intensity: 0.250000
'alienate', Angle: 235.539185, Intensity: 0.490000
'alienation', Angle: 232.853317, Intensity: 0.500000
'allegation', Angle: 209.631531, Intensity: 0.500000
'allege', Angle: 198.725784, Intensity: 0.500000
'aloof', Angle: 141.921112, Intensity: 0.490000
