'shred', Angle: 270.000000, Intensity: 0.500000
'shrew', Angle: 204.102234, Intensity: 0.500000
'shriek', Angle: 240.767181, Intensity: 0.500000
'shrill', Angle: 241.735992, Intensity: 0.420000
'shrivel', Angle: 200.879013, Intensity: 0.420000
'shroud', Angle: 113.344009, Intensity: 0.410000
'shrug', Angle: 234.223923, Intensity: 0.340000
'shun', Angle: NaN, Intensity: 0.000000
'shyness', Angle: 111.217972, Intensity: 0.360000
'sick', Angle: 180.000000, Intensity: 0.580000
'sickly', Angle: 180.389755, Intensity: 0.590000
'sickness', Angle: 180.395142, Intensity: 0.580000
'siege', Angle: 227.700623, Intensity: 0.600000
'silly', Angle: 103.495735, Intensity: 0.410000
'simplistic', Angle: 135.643738, Intensity: 0.500000
'sin', Angle: 188.297150, Intensity: 0.580000
'sinful', Angle: 188.604477, Intensity: 0.610000
'sinister', Angle: 230.339233, Intensity: 0.610000
'skeptical', Angle: 106.448608, Intensity: 0.440000
'sketchy', Angle: 100.049347, Intensity: 0.320000
'skirmish', Angle: 231.179932, Intensity: 0.450000
'skulk', Angle: 194.420776, Intensity: 0.430000
'slam', Angle: 259.460815, Intensity: 0.520000
'slander', Angle: 193.695877, Intensity: 0.490000
'slanderer', Angle: 193.807526, Intensity: 0.490000
'slanderous', Angle: 193.348724, Intensity: 0.490000
'slap', Angle: 245.517517, Intensity: 0.490000
'slash', Angle: NaN, Intensity: 0.000000
'slaughter', Angle: 226.374832, Intensity: 0.710000
'slayer', Angle: 227.770218, Intensity: 0.700000
'sleazy', Angle: 155.480362, Intensity: 0.500000
'sleepless', Angle: 200.666122, Intensity: 0.490000
'slime', Angle: 161.085602, Intensity: 0.600000
'sloppy', Angle: 130.120728, Intensity: 0.470000
'sloth', Angle: 180.902222, Intensity: 0.510000
'slothful', Angle: 180.458359, Intensity: 0.500000
'slug', Angle: NaN, Intensity: 0.000000
'sluggish', Angle: 167.969406, Intensity: 0.500000
'slump', Angle: 193.815033, Intensity: 0.500000
'sly', Angle: 244.457977, Intensity: 0.500000
'smack', Angle: 210.465546, Intensity: 0.550000
'smash', Angle: 250.096252, Intensity: 0.490000
'smear', Angle: NaN, Intensity: 0.000000
'smother', Angle: 225.556259, Intensity: 0.580000
'smuggle', Angle: 194.149475, Intensity: 0.490000
'snare', Angle: NaN, Intensity: 0.000000
'snarl', Angle: 241.205994, Intensity: 0.600000
'snatch', Angle: NaN, Intensity: 0.000000
'sneak', Angle: 252.309113, Intensity: 0.490000
'sneer', Angle: 191.148987, Intensity: 0.560000
'snore', Angle: 180.000000, Intensity: 0.590000
'sob', Angle: 197.271744, Intensity: 0.500000
'somber', Angle: 150.814087, Intensity: 0.510000
'sore', Angle: 195.051224, Intensity: 0.490000
'soreness', Angle: 195.499268, Intensity: 0.490000
'sorrow', Angle: 205.513870, Intensity: 0.590000
