'tear', Angle: 180.000000, Intensity: 0.500000
'tease', Angle: 237.847702, Intensity: 0.500000
'tedious', Angle: 124.066185, Intensity: 0.510000
'temper', Angle: NaN, Intensity: 0.000000
'tempest', Angle: 229.297394, Intensity: 0.490000
'temporarily', Angle: NaN, Intensity: 0.000000
'temptation', Angle: 190.676361, Intensity: 0.500000
'tense', Angle: 250.377747, Intensity: 0.490000
'tension', Angle: 249.775146, Intensity: 0.490000
'terrify', Angle: 240.906174, Intensity: 0.570000
'terror', Angle: 241.294052, Intensity: 0.570000
'terrorism', Angle: 240.945404, Intensity: 0.700000
'terrorize', Angle: 241.308228, Intensity: 0.670000
'theft', Angle: 194.788681, Intensity: 0.520000
'thief', Angle: 194.549637, Intensity: 0.540000
'thirst', Angle: 180.000000, Intensity: 0.490000
'thirsty', Angle: 180.000000, Intensity: 0.480000
'thorny', Angle: 136.974930, Intensity: 0.490000
'thoughtless', Angle: 139.200623, Intensity: 0.500000
'thrash', Angle: 139.497162, Intensity: 0.510000
'threat', Angle: 227.755417, Intensity: 0.530000
'threaten', Angle: 227.290619, Intensity: 0.570000
'thud', Angle: NaN, Intensity: 0.000000
'thwart', Angle: 242.607635, Intensity: 0.500000
'timidity', Angle: 142.125015, Intensity: 0.500000
'tired', Angle: 154.872177, Intensity: 0.500000
'tiresome', Angle: 154.259293, Intensity: 0.500000
'toil', Angle: 215.106079, Intensity: 0.490000
'tolerable', Angle: NaN, Intensity: 0.000000
'topple', Angle: 244.872177, Intensity: 0.500000
'torment', Angle: 223.389694, Intensity: 0.700000
'torrent', Angle: 220.799377, Intensity: 0.500000
'torturous', Angle: 226.383698, Intensity: 0.590000
'touchy', Angle: 158.198593, Intensity: 0.500000
'tragedy', Angle: 187.976776, Intensity: 0.630000
'tragic', Angle: 187.888351, Intensity: 0.670000
'traitor', Angle: 180.000000, Intensity: 0.500000
'tramp', Angle: NaN, Intensity: 0.000000
'trample', Angle: 228.239700, Intensity: 0.600000
'transgress', Angle: 190.676361, Intensity: 0.500000
'trap', Angle: 156.921783, Intensity: 0.500000
'trauma', Angle: 193.924774, Intensity: 0.500000
'traumatic', Angle: 193.585999, Intensity: 0.490000
'treacherous', Angle: 180.000000, Intensity: 0.610000
'treachery', Angle: 180.000000, Intensity: 0.600000
'treason', Angle: 157.520569, Intensity: 0.500000
'treasonous', Angle: 156.740784, Intensity: 0.500000
'trespass', Angle: 248.895172, Intensity: 0.490000
'trick', Angle: NaN, Intensity: 0.000000
'trivial', Angle: NaN, Intensity: 0.000000
'trouble', Angle: 195.945389, Intensity: 0.500000
'troublesome', Angle: 195.051224, Intensity: 0.490000
'truant', Angle: 158.962494, Intensity: 0.500000
'trudge', Angle: 150.541595, Intensity: 0.500000
'turbulent', Angle: 223.381897, Intensity: 0.500000
'turmoil', Angle: 221.099503, Intensity: 0.500000
'twitch', Angle: 180.000000, Intensity: 0.400000
'tyranny', Angle: 196.189209, Intensity: 0.520000
'ugly', Angle: 180.000000, Intensity: 0.460000
'ultimatum', Angle: 248.962494, Intensity: 0.500000
'unaccustomed', Angle: NaN, Intensity: 0.000000
'unarm', Angle: NaN, Intensity: 0.000000
'unattractive', Angle: 180.000000, Intensity: 0.390000
'unauthentic', Angle: 136.591141, Intensity: 0.410000
'unavoidable', Angle: NaN, Intensity: 0.000000
'unbearable', Angle: 180.000000, Intensity: 0.620000
'unbelievable', Angle: 111.801407, Intensity: 0.500000
