'battle', Angle: 246.037506, Intensity: 0.490000
'battlefield', Angle: 112.999298, Intensity: 0.500000
'beastly', Angle: 180.000000, Intensity: 0.640000
'beg', Angle: 173.870911, Intensity: 0.500000
'beggar', Angle: 175.395508, Intensity: 0.500000
'behead', Angle: 258.446777, Intensity: 0.620000
'belated', Angle: 108.199165, Intensity: 0.260000
'belie', Angle: 209.128830, Intensity: 0.500000
'belittle', Angle: 158.907654, Intensity: 0.500000
'belligerent', Angle: 247.763306, Intensity: 0.650000
'bereave', Angle: 152.402710, Intensity: 0.500000
'bereavement', Angle: 152.417969, Intensity: 0.500000
'bereft', Angle: 152.920334, Intensity: 0.500000
'berserk', Angle: 250.673676, Intensity: 0.750000
'beseech', Angle: 270.000000, Intensity: 0.490000
'beset', Angle: 225.814575, Intensity: 0.500000
'besiege', Angle: 230.145447, Intensity: 0.500000
'betray', Angle: 207.245087, Intensity: 0.500000
'betrayal', Angle: 207.997147, Intensity: 0.600000
'beware', Angle: 227.662994, Intensity: 0.410000
'bewilder', Angle: 189.651840, Intensity: 0.500000
'bewilderment', Angle: 189.651840, Intensity: 0.500000
'bitchy', Angle: 227.442413, Intensity: 0.500000
'bite', Angle: 237.792297, Intensity: 0.500000
'bitter', Angle: 175.395508, Intensity: 0.500000
'bitterness', Angle: 175.046753, Intensity: 0.500000
'bizarre', Angle: 98.833412, Intensity: 0.500000
'blackmail', Angle: 212.412308, Intensity: 0.500000
'blah', Angle: 139.105103, Intensity: 0.490000
'blame', Angle: 187.266953, Intensity: 0.500000
'bland', Angle: 93.433632, Intensity: 0.500000
'blast', Angle: 270.387115, Intensity: 0.490000
'blatant', Angle: 180.381973, Intensity: 0.500000
'bleak', Angle: 143.436905, Intensity: 0.500000
'blemish', Angle: 199.163239, Intensity: 0.500000
'blind', Angle: 98.455025, Intensity: 0.250000
'blindness', Angle: 98.022400, Intensity: 0.500000
'block', Angle: NaN, Intensity: 0.000000
'blockhead', Angle: 180.384537, Intensity: 0.500000
'bloodshed', Angle: 243.566055, Intensity: 0.650000
'bloodthirsty', Angle: 180.507034, Intensity: 0.750000
'bloody', Angle: 190.713120, Intensity: 0.500000
