'battle', Angle: 254.096893, Intensity: 0.740000
'battlefield', Angle: 251.757324, Intensity: 0.750000
'beastly', Angle: 180.287918, Intensity: 0.800000
'beg', Angle: 194.369995, Intensity: 0.500000
'beggar', Angle: 157.594589, Intensity: 0.490000
'behead', Angle: 249.159088, Intensity: 0.750000
'belated', Angle: 103.585999, Intensity: 0.490000
'belie', Angle: 193.585999, Intensity: 0.490000
'belittle', Angle: 193.134018, Intensity: 0.490000
'belligerent', Angle: 263.453705, Intensity: 0.740000
'bereave', Angle: 256.936035, Intensity: 0.740000
'bereavement', Angle: 256.795166, Intensity: 0.740000
'bereft', Angle: 146.136307, Intensity: 0.730000
'berserk', Angle: 263.630554, Intensity: 0.870000
'beseech', Angle: 190.762543, Intensity: 0.490000
'beset', Angle: 244.117004, Intensity: 0.750000
'besiege', Angle: 245.075424, Intensity: 0.750000
'betray', Angle: 199.203979, Intensity: 0.760000
'betrayal', Angle: 197.969147, Intensity: 0.780000
'beware', Angle: 231.483078, Intensity: 0.500000
'bewilder', Angle: 194.791092, Intensity: 0.740000
'bewilderment', Angle: 192.430923, Intensity: 0.760000
'bitchy', Angle: 206.565048, Intensity: 0.750000
'bite', Angle: 226.992096, Intensity: 0.650000
'bitter', Angle: 174.854538, Intensity: 0.850000
'bitterness', Angle: 175.458008, Intensity: 0.860000
'bizarre', Angle: 264.678986, Intensity: 0.50000
'blackmail', Angle: 233.252533, Intensity: 0.750000
'blah', Angle: 136.507431, Intensity: 0.650000
'blame', Angle: 191.749985, Intensity: 0.510000
'bland', Angle: 90.454720, Intensity: 0.500000
'blast', Angle: 234.102631, Intensity: 0.520000
'blatant', Angle: 194.184296, Intensity: 0.750000
'bleak', Angle: 147.411636, Intensity: 0.750000
'blemish', Angle: 160.984375, Intensity: 0.650000
'blind', Angle: 186.869995, Intensity: 0.670000
'blindness', Angle: 191.924530, Intensity: 0.660000
'block', Angle: 191.797241, Intensity: 0.650000
'blockhead', Angle: 188.130096, Intensity: 0.680000
'bloodshed', Angle: 229.909058, Intensity: 0.930000
'bloodthirsty', Angle: 250.958771, Intensity: 0.960000
'bloody', Angle: 229.993744, Intensity: 0.880000
'blow', Angle: 226.548157, Intensity: 0.520000
'blunder', Angle: 186.745575, Intensity: 0.750000
'blunt', Angle: 156.467651, Intensity: 0.540000
'blur', Angle: 225.921295, Intensity: 0.500000
'blurt', Angle: 230.633835, Intensity: 0.60000
'boast', Angle: 209.084991, Intensity: 0.730000
'boastful', Angle: 208.033844, Intensity: 0.700000
'bogus', Angle: 174.369324, Intensity: 0.570000
'boisterous', Angle: 225.000000, Intensity: 0.160000
'bolt', Angle: 270.271545, Intensity: 0.370000
'bomb', Angle: 249.515076, Intensity: 0.500000
'bombard', Angle: 250.482269, Intensity: 0.650000
'bombardment', Angle: 248.824249, Intensity: 0.630000
'bondage', Angle: 140.627762, Intensity: 0.690000
'boot', Angle: 251.565048, Intensity: 0.020000
'bore', Angle: 120.181854, Intensity: 0.490000
'bore#6', Angle: 254.744873, Intensity: 0.020000
'boredom', Angle: 120.538826, Intensity: 0.490000
'bother', Angle: 200.579376, Intensity: 0.510000
