'collide', Angle: 235.420715, Intensity: 0.500000
'collision', Angle: 235.159058, Intensity: 0.500000
'collusion', Angle: 154.872177, Intensity: 0.500000
'colony', Angle: 180.462051, Intensity: 0.500000
'combat', Angle: 227.650696, Intensity: 0.610000
'combatant', Angle: 228.460190, Intensity: 0.610000
'commiseration', Angle: 155.897766, Intensity: 0.500000
'commit', Angle: 270.462067, Intensity: 0.500000
'commoner', Angle: 101.580620, Intensity: 0.500000
'commonplace', Angle: 100.060692, Intensity: 0.500000
'commotion', Angle: 254.375763, Intensity: 0.490000
'compel', Angle: 264.930573, Intensity: 0.500000
'compete', Angle: 262.193604, Intensity: 0.500000
'competition', Angle: 270.000000, Intensity: 0.490000
'competitive', Angle: 262.130920, Intensity: 0.500000
'competitor', Angle: 270.458344, Intensity: 0.500000
'complain', Angle: 212.295975, Intensity: 0.500000
'complaint', Angle: 191.129196, Intensity: 0.500000
'complex', Angle: 105.376251, Intensity: 0.500000
'complexity', Angle: 104.931419, Intensity: 0.500000
'complicate', Angle: 257.216553, Intensity: 0.490000
'complication', Angle: 236.056412, Intensity: 0.500000
'complicity', Angle: 173.157227, Intensity: 0.500000
'compulsion', Angle: 261.674347, Intensity: 0.500000
'conceal', Angle: 264.930573, Intensity: 0.500000
'conceit', Angle: 180.916656, Intensity: 0.500000
'concern', Angle: 270.000000, Intensity: 0.490000
'condemn', Angle: 229.763641, Intensity: 0.610000
'condemnation', Angle: 230.659485, Intensity: 0.630000
'condescending', Angle: 199.746841, Intensity: 0.500000
'condescension', Angle: 202.655228, Intensity: 0.500000
'confess', Angle: 255.068573, Intensity: 0.500000
'confession', Angle: 255.068573, Intensity: 0.500000
'confine', Angle: 229.497147, Intensity: 0.510000
'confinement', Angle: 230.194427, Intensity: 0.500000
'confiscate', Angle: 236.821487, Intensity: 0.500000
'confiscation', Angle: 235.420715, Intensity: 0.500000
'conflict', Angle: 250.144775, Intensity: 0.610000
'confound', Angle: 221.784515, Intensity: 0.500000
'confront', Angle: 233.615646, Intensity: 0.570000
'confrontation', Angle: 232.193466, Intensity: 0.590000
'confuse', Angle: 210.884949, Intensity: 0.500000
'confusion', Angle: 212.152298, Intensity: 0.500000
'congested', Angle: 204.934296, Intensity: 0.500000
'congestion', Angle: 206.565048, Intensity: 0.500000
'conspiracy', Angle: 192.824402, Intensity: 0.500000
'conspirator', Angle: 208.610458, Intensity: 0.500000
'conspire', Angle: 208.610458, Intensity: 0.500000
'consternation', Angle: 238.091888, Intensity: 0.500000
'constrain', Angle: 250.671875, Intensity: 0.570000
'constraint', Angle: 250.581528, Intensity: 0.590000
