'obliterate', Angle: 243.434952, Intensity: 0.490000
'obnoxious', Angle: 194.858612, Intensity: 0.610000
'obscure', Angle: 109.160172, Intensity: 0.500000
'obsolete', Angle: NaN, Intensity: 0.000000
'obstacle', Angle: 197.549011, Intensity: 0.490000
'obstinate', Angle: 191.864395, Intensity: 0.490000
'obstruct', Angle: 198.145584, Intensity: 0.500000
'obstruction', Angle: 198.289154, Intensity: 0.500000
'odd', Angle: 101.668777, Intensity: 0.380000
'oddity', Angle: 101.433678, Intensity: 0.360000
'offend', Angle: 212.790878, Intensity: 0.490000
'offender', Angle: 212.927856, Intensity: 0.500000
'offensive', Angle: 212.541748, Intensity: 0.500000
'ominous', Angle: 237.875000, Intensity: 0.610000
'opinionated', Angle: 194.369995, Intensity: 0.500000
'opponent', Angle: 246.317902, Intensity: 0.500000
'oppose', Angle: 194.813461, Intensity: 0.500000
'opposition', Angle: 194.484726, Intensity: 0.500000
'oppress', Angle: 243.434952, Intensity: 0.570000
'oppression', Angle: 242.904449, Intensity: 0.580000
'oppressive', Angle: 242.734116, Intensity: 0.580000
'ordeal', Angle: 197.265808, Intensity: 0.620000
'order', Angle: NaN, Intensity: 0.000000
'orphan', Angle: 136.287323, Intensity: 0.500000
'ostracize', Angle: 187.997467, Intensity: 0.490000
'oust', Angle: 191.129196, Intensity: 0.500000
'outbreak', Angle: 229.548035, Intensity: 0.500000
'outburst', Angle: 230.253799, Intensity: 0.490000
'outcast', Angle: 143.291275, Intensity: 0.570000
'outcry', Angle: 212.207703, Intensity: 0.600000
'outlaw', Angle: 195.255127, Intensity: 0.550000
'outrage', Angle: 251.683685, Intensity: 0.610000
'outrageous', Angle: 251.805786, Intensity: 0.600000
'outsider', Angle: 106.232353, Intensity: 0.330000
'overbearing', Angle: 202.833649, Intensity: 0.490000
'overlook', Angle: NaN, Intensity: 0.000000
'overpower', Angle: 233.285797, Intensity: 0.590000
'overrun', Angle: 228.296112, Intensity: 0.540000
'oversight', Angle: NaN, Intensity: 0.000000
'overthrow', Angle: 229.479462, Intensity: 0.620000
'overturn', Angle: 229.438721, Intensity: 0.620000
'overwhelming', Angle: NaN, Intensity: 0.000000
'overworked', Angle: 158.198593, Intensity: 0.580000
'owe', Angle: 179.534180, Intensity: 0.490000
'pain', Angle: 189.398239, Intensity: 0.590000
'painful', Angle: 190.548065, Intensity: 0.590000
'paltry', Angle: 134.028976, Intensity: 0.500000
'pandemonium', Angle: 189.211029, Intensity: 0.600000
'panic', Angle: 240.303345, Intensity: 0.590000
'paralysis', Angle: 108.289162, Intensity: 0.500000
'paralyzed', Angle: 108.725784, Intensity: 0.500000
'paranoid', Angle: 191.673706, Intensity: 0.490000
'parasite', Angle: 192.030594, Intensity: 0.500000
'partition', Angle: NaN, Intensity: 0.000000
