1 2 3
9 11 2
11 1 2
11 12 2
10 12 11
11 12 3
10 12 11
1 3 3
11 12 11
2 11 11
1 3 2
10 9 4
10 12 11
1 1 3
2 1 1
1 12 1
8 9 7
11 1 12
13 12 3
9 3 3
10 12 10
4 1 3
11 12 2
11 12 1
3 3 3
11 11 11
9 12 1
1 12 2
11 11 10
3 1 2
3 3 3
11 12 10
9 9 3
11 11 11
3 3 3
12 12 1
1 2 3
3 3 1
4 10 4
10 12 11
10 12 9
1 3 3
11 1 1
11 12 1
11 3 3
12 12 11
12 1 12
10 12 11
1 1 3
12 3 12
11 1 12
10 12 11
9 10 3
12 1 12
9 12 1
11 11 1
1 1 2
12 12 3
9 3 3
10 3 3
10 11 12
3 1 3
4 3 1
1 2 2
9 1 1
9 10 11
11 12 2
9 3 3
10 2 3
10 11 11
3 2 2
9 3 3
9 9 9
12 3 3
3 3 3
9 9 12
12 12 2
9 9 9
12 3 3
12 1 12
10 12 11
12 3 1
2 2 12
10 10 11
10 12 11
12 12 12
9 10 3
11 12 11
11 12 12
9 3 3
11 1 12
9 10 8
2 2 11
9 3 2
12 11 12
9 1 1
12 3 3
10 12 9
11 1 12
12 12 12
10 10 3
12 1 2
2 3 1
11 3 2
2 3 3
10 12 9
9 9 12
11 12 12
9 9 3
2 3 3
15 10 11
1 3 1
11 3 2
10 12 11
3 11 3
9 3 3
10 10 11
3 3 4
9 4 3
12 3 1
10 12 12
11 1 2
11 12 12
9 10 12
11 2 2
1 1 2
9 3 4
8 9 9
9 1 1
4 3 1
9 1 1
3 3 3
12 1 2
12 11 2
11 1 1
3 4 3
10 12 12
