'abide', Angle: 73.559624, Intensity: 0.250000
'able', Angle: 72.699478, Intensity: 0.260000
'abound', Angle: 53.310280, Intensity: 0.250000
'absolve', Angle: 18.725788, Intensity: 0.250000
'absorbent', Angle: 82.647621, Intensity: 0.250000
'absorption', Angle: 90.939186, Intensity: 0.240000
'abundance', Angle: 12.724356, Intensity: 0.250000
'abundant', Angle: 12.724356, Intensity: 0.250000
'accentuate', Angle: 269.782030, Intensity: 0.260000
'accept', Angle: 90.000000, Intensity: 0.250000
'acceptable', Angle: 88.210091, Intensity: 0.260000
'acceptance', Angle: 89.075951, Intensity: 0.250000
'accessible', Angle: 79.939308, Intensity: 0.250000
'accession', Angle: 359.090637, Intensity: 0.250000
'acclaim', Angle: 338.962494, Intensity: 0.500000
'acclamation', Angle: 338.537109, Intensity: 0.500000
'accolade', Angle: 330.989624, Intensity: 0.500000
'accommodate', Angle: 335.421315, Intensity: 0.260000
'accommodation', Angle: 312.765163, Intensity: 0.250000
'accompaniment', Angle: 269.774326, Intensity: 0.250000
'accomplish', Angle: 335.480347, Intensity: 0.500000
'accomplishment', Angle: 334.259277, Intensity: 0.500000
'accordance', Angle: 70.974396, Intensity: 0.250000
'accountable', Angle: 87.316223, Intensity: 0.510000
'accrue', Angle: 5.527540, Intensity: 0.500000
'accuracy', Angle: 63.838432, Intensity: 0.250000
'accurate', Angle: 66.801407, Intensity: 0.240000
'accurateness', Angle: 321.632507, Intensity: 0.490000
'achieve', Angle: 318.556183, Intensity: 0.500000
'achievement', Angle: 358.646790, Intensity: 0.510000
'acknowledgement', Angle: 269.458356, Intensity: 0.500000
'acquaint', Angle: 27.801456, Intensity: 0.250000
'acquaintance', Angle: 52.765163, Intensity: 0.250000
'acquit', Angle: 316.952515, Intensity: 0.500000
'acquittal', Angle: 325.159058, Intensity: 0.500000
'actual', Angle: 90.000000, Intensity: 0.250000
'actuality', Angle: 88.181694, Intensity: 0.250000
'adamant', Angle: 270.462067, Intensity: 0.500000
'adaptability', Angle: 74.427460, Intensity: 0.250000
'adaptable', Angle: 75.529709, Intensity: 0.260000
'adaptation', Angle: 90.000000, Intensity: 0.250000
'adaptive', Angle: 59.036240, Intensity: 0.260000
'adept', Angle: 359.541626, Intensity: 0.500000
'adeptness', Angle: 359.090637, Intensity: 0.500000
'adequate', Angle: 76.184975, Intensity: 0.250000
'adherence', Angle: 24.102236, Intensity: 0.500000
'adherent', Angle: 20.874647, Intensity: 0.510000
'adhesion', Angle: 0.454719, Intensity: 0.500000
'adhesive', Angle: 270.458344, Intensity: 0.650000
'adjunct', Angle: 270.954834, Intensity: 0.240000
'adjustable', Angle: 70.244834, Intensity: 0.240000
'adjustment', Angle: 269.075958, Intensity: 0.250000
'admirable', Angle: 359.083344, Intensity: 0.500000
'admirer', Angle: 359.090637, Intensity: 0.250000
'admit', Angle: 281.129181, Intensity: 0.250000
'admittance', Angle: 42.222828, Intensity: 0.250000
'adorable', Angle: 359.083344, Intensity: 0.500000
'adore', Angle: 359.097778, Intensity: 0.510000
'adorn', Angle: 353.609497, Intensity: 0.500000
'adornment', Angle: 349.045929, Intensity: 0.250000
'adroit', Angle: 341.861908, Intensity: 0.500000
'adroitly', Angle: 331.574005, Intensity: 0.500000
'adulation', Angle: 269.537964, Intensity: 0.500000
'advance', Angle: 269.537964, Intensity: 0.500000
'advancement', Angle: 270.000000, Intensity: 0.500000
'advantage', Angle: 77.520927, Intensity: 0.500000
'advantageous', Angle: 75.963760, Intensity: 0.490000
'advent', Angle: 310.751556, Intensity: 0.600000
'adventuresome', Angle: 289.311859, Intensity: 0.500000
'adventurous', Angle: 290.022095, Intensity: 0.500000
'advisable', Angle: 26.146841, Intensity: 0.250000
'advocacy', Angle: 290.714172, Intensity: 0.510000
'affability', Angle: 6.033253, Intensity: 0.490000
'affable', Angle: 6.952958, Intensity: 0.500000
'affection', Angle: 346.184967, Intensity: 0.500000
'affectionate', Angle: 340.253174, Intensity: 0.500000
'affiliate', Angle: 78.157921, Intensity: 0.250000
'affiliation', Angle: 77.275650, Intensity: 0.250000
'affinity', Angle: 345.186523, Intensity: 0.500000
'affirmative', Angle: 334.259277, Intensity: 0.250000
'affix', Angle: 88.181694, Intensity: 0.250000
'affluence', Angle: 6.842773, Intensity: 0.500000
'affluent', Angle: 0.451139, Intensity: 0.510000
'afloat', Angle: 78.870811, Intensity: 0.500000
