<<<<<<< intensity_annotations_pair.csv
0.4 0.4
0.3 0.1
=======
0.4399999976158142 0.36000001430511475
0.25999999046325684 0.12999999523162842
>>>>>>> 1.4
0.5 0.5
<<<<<<< intensity_annotations_pair.csv
=======
0.49000000953674316 0.49000000953674316
0.49000000953674316 0.5099999904632568
0.25 0.20000000298023224
0.44999998807907104 0.5
0.5 0.49000000953674316
0.4000000059604645 0.25099998712539673
0.49000000953674316 0.5
0.25 0.3199999928474426
0.27000001072883606 0.3799999952316284
0.49000000953674316 0.5
0.5 0.49000000953674316
0.47999998927116394 0.5099999904632568
0.23999999463558197 0.3100000023841858
0.5 0.5
0.25 0.3799999952316284
0.5 0.5199999809265137
0.49000000953674316 0.5
0.75 0.6600000262260437
0.49000000953674316 0.5099999904632568
0.3400000035762787 0.4099999964237213
0.5 0.5
0.25 0.3700000047683716
0.5699999928474426 0.5400000214576721
0.23999999463558197 0.23999999463558197
0.25 0.20000000298023224
0.49000000953674316 0.49000000953674316
0.5 0.5
0.25 0.30000001192092896
0.5299999713897705 0.5
0.44999998807907104 0.5
0.23999999463558197 0.25
0.49000000953674316 0.5
0.49000000953674316 0.5099999904632568
0.49000000953674316 0.49000000953674316
0.5 0.5
0.5 0.5
0.5 0.5
0.25999999046325684 0.25
0.25 0.18000000715255737
0.25 0.25
0.25 0.25999999046325684
0.5 0.5
0.49000000953674316 0.5
0.5 0.49000000953674316
0.5 0.5
0.49000000953674316 0.5
0.49000000953674316 0.49000000953674316
0.25999999046325684 0.25999999046325684
0.5 0.5
0.25 0.33000001311302185
0.5 0.5
0.5 0.5
0.5 0.5
0.5 0.5699999928474426
0.5 0.5
0.5 0.5
0.5 0.550000011920929
0.49000000953674316 0.49000000953674316
0.25 0.17000000178813934
0.5 0.5
0.25999999046325684 0.25
0.49000000953674316 0.5
0.5099999904632568 0.5
0.49000000953674316 0.5099999904632568
0.4300000071525574 0.5
0.5 0.5
0.5 0.5
0.5 0.550000011920929
0.75 0.699999988079071
0.5 0.5
0.49000000953674316 0.5
0.4399999976158142 0.49000000953674316
0.25 0.25999999046325684
0.49000000953674316 0.49000000953674316
0.5099999904632568 0.5
0.5 0.5
0.5 0.5
0.23999999463558197 0.25
0.5 0.49000000953674316
0.6299999952316284 0.6200000047683716
0.4000000059604645 0.25099998712539673
0.5 0.5
0.5 0.5
0.5 0.4300000071525574
0.5 0.5
0.5899999737739563 0.5799999833106995
0.5 0.5
0.47999998927116394 0.46000000834465027
0.49000000953674316 0.3799999952316284
0.5 0.5
0.49000000953674316 0.5
