'aristocrat', Angle: 60.383297, Intensity: 0.490000
'aristocratic', Angle: 60.586304, Intensity: 0.490000
'art', Angle: 22.823763, Intensity: 0.500000
'ascribe', Angle: 72.880287, Intensity: 0.440000
'aspiration', Angle: 322.088470, Intensity: 0.490000
'aspire', Angle: 319.596802, Intensity: 0.500000
'assent', Angle: 354.023315, Intensity: 0.490000
'assertion', Angle: 347.891022, Intensity: 0.500000
'asset', Angle: 24.818209, Intensity: 0.490000
'assist', Angle: 333.161682, Intensity: 0.500000
'assistance', Angle: 333.711731, Intensity: 0.490000
'assistant', Angle: 332.789124, Intensity: 0.490000
'associate', Angle: 343.633514, Intensity: 0.500000
'association', Angle: 24.067465, Intensity: 0.490000
'assurance', Angle: 34.773144, Intensity: 0.490000
'assure', Angle: 342.609070, Intensity: 0.490000
'assuredly', Angle: 24.477541, Intensity: 0.500000
'astound', Angle: 323.926392, Intensity: 0.480000
'astute', Angle: 339.612549, Intensity: 0.490000
'athletic', Angle: 328.755035, Intensity: 0.490000
'attachment', Angle: 71.179657, Intensity: 0.500000
'attain', Angle: 316.799286, Intensity: 0.480000
'attainment', Angle: 320.273895, Intensity: 0.490000
'attend', Angle: 268.798157, Intensity: 0.250000
'attendance', Angle: 269.575592, Intensity: 0.240000
'attentive', Angle: 335.353210, Intensity: 0.500000
'attract', Angle: 318.833679, Intensity: 0.490000
'attraction', Angle: 320.536865, Intensity: 0.490000
'attractive', Angle: 318.794678, Intensity: 0.490000
'attractiveness', Angle: 318.212219, Intensity: 0.490000
'attune', Angle: 341.692932, Intensity: 0.500000
'audible', Angle: 91.185257, Intensity: 0.260000
'augment', Angle: 269.298462, Intensity: 0.430000
'augmentation', Angle: 269.786987, Intensity: 0.480000
'auspicious', Angle: 28.709661, Intensity: 0.570000
'authentic', Angle: 33.530468, Intensity: 0.530000
'authenticity', Angle: 33.097187, Intensity: 0.520000
'authoritative', Angle: 269.392639, Intensity: 0.500000
'authority', Angle: 269.388336, Intensity: 0.500000
'autonomous', Angle: 59.316757, Intensity: 0.500000
'availability', Angle: 27.374514, Intensity: 0.500000
'avid', Angle: 297.576599, Intensity: 0.490000
'award', Angle: 327.177124, Intensity: 0.490000
'aware', Angle: 14.785492, Intensity: 0.490000
'awareness', Angle: 16.757849, Intensity: 0.500000
'backbone', Angle: 30.414833, Intensity: 0.510000
'backer', Angle: 324.319336, Intensity: 0.490000
'backing', Angle: 335.556030, Intensity: 0.490000
'balmy', Angle: 45.000000, Intensity: 0.500000
'baptism', Angle: 342.609070, Intensity: 0.490000
