'aristocrat', Angle: 73.358963, Intensity: 0.500000
'aristocratic', Angle: 57.154942, Intensity: 0.500000
'art', Angle: 269.587799, Intensity: 0.250000
'ascribe', Angle: 269.593658, Intensity: 0.250000
'aspiration', Angle: 345.523407, Intensity: 0.500000
'aspire', Angle: 341.435425, Intensity: 0.490000
'assent', Angle: 57.094757, Intensity: 0.250000
'assertion', Angle: 292.335449, Intensity: 0.250000
'asset', Angle: 65.998718, Intensity: 0.270000
'assist', Angle: 336.583984, Intensity: 0.240000
'assistance', Angle: 334.344330, Intensity: 0.250000
'assistant', Angle: 331.101318, Intensity: 0.251000
'associate', Angle: 341.306946, Intensity: 0.251000
'association', Angle: 315.561707, Intensity: 0.260000
'assurance', Angle: 289.736908, Intensity: 0.250000
'assure', Angle: 297.103882, Intensity: 0.250000
'assuredly', Angle: 300.106537, Intensity: 0.251000
'astound', Angle: 355.948975, Intensity: 0.630000
'astute', Angle: 21.387049, Intensity: 0.500000
'athletic', Angle: 280.992523, Intensity: 0.250000
'attain', Angle: 336.058044, Intensity: 0.500000
'attainment', Angle: 335.522461, Intensity: 0.500000
'attend', Angle: 346.644653, Intensity: 0.250000
'attendance', Angle: 348.215240, Intensity: 0.250000
'attentive', Angle: 331.534851, Intensity: 0.500000
'attract', Angle: 290.205109, Intensity: 0.510000
'attraction', Angle: 289.694000, Intensity: 0.510000
'attractive', Angle: 288.829163, Intensity: 0.490000
'attractiveness', Angle: 289.203979, Intensity: 0.500000
'attune', Angle: 274.524780, Intensity: 0.250000
'audible', Angle: 82.926460, Intensity: 0.240000
'augment', Angle: 269.587799, Intensity: 0.250000
'augmentation', Angle: 269.593658, Intensity: 0.250000
'auspicious', Angle: 0.205360, Intensity: 0.490000
'authentic', Angle: 22.027279, Intensity: 0.250000
'authenticity', Angle: 22.774971, Intensity: 0.250000
'authoritative', Angle: 269.797546, Intensity: 0.500000
'authority', Angle: 268.763611, Intensity: 0.251000
'autonomous', Angle: 32.845058, Intensity: 0.500000
'availability', Angle: 30.963758, Intensity: 0.360000
'avid', Angle: 270.202454, Intensity: 0.500000
'award', Angle: 304.487366, Intensity: 0.250000
'aware', Angle: 13.172553, Intensity: 0.260000
'awareness', Angle: 10.375845, Intensity: 0.380000
'backbone', Angle: 356.537933, Intensity: 0.500000
'backer', Angle: 316.181183, Intensity: 0.240000
'backing', Angle: 315.000000, Intensity: 0.240000
'balmy', Angle: 359.374969, Intensity: 0.490000
'baptism', Angle: 313.818817, Intensity: 0.240000
'baptize', Angle: 313.865570, Intensity: 0.250000
'bargain', Angle: 269.581787, Intensity: 0.240000
'basic', Angle: 91.201828, Intensity: 0.250000
'beacon', Angle: 340.537445, Intensity: 0.251000
'beauteous', Angle: 359.826904, Intensity: 0.590000
'beautify', Angle: 355.353668, Intensity: 0.500000
'beauty', Angle: 0.203899, Intensity: 0.500000
'befit', Angle: 90.406349, Intensity: 0.250000
'befitting', Angle: 90.406349, Intensity: 0.250000
'befriend', Angle: 349.418365, Intensity: 0.490000
'beloved', Angle: 351.869904, Intensity: 0.490000
'benefactor', Angle: 23.091295, Intensity: 0.250000
'beneficent', Angle: 343.123718, Intensity: 0.490000
'beneficial', Angle: 359.797546, Intensity: 0.500000
'beneficiary', Angle: 359.587799, Intensity: 0.250000
'benefit', Angle: 338.991699, Intensity: 0.500000
'benevolence', Angle: 325.124664, Intensity: 0.500000
'benevolent', Angle: 320.739105, Intensity: 0.500000
'benign', Angle: 34.668896, Intensity: 0.490000
'bequeath', Angle: 345.668915, Intensity: 0.250000
'best', Angle: 359.591736, Intensity: 0.750000
