'darling', Angle: 345.186523, Intensity: 0.500000
'dauntless', Angle: 343.479126, Intensity: 0.490000
'dazzle', Angle: 278.923981, Intensity: 0.490000
'deal', Angle: 269.438293, Intensity: 0.410000
'dear', Angle: 344.305084, Intensity: 0.500000
'decency', Angle: 20.063072, Intensity: 0.490000
'decent', Angle: 18.138081, Intensity: 0.490000
'decipher', Angle: 296.869812, Intensity: 0.340000
'decorate', Angle: 328.431030, Intensity: 0.390000
'decoration', Angle: 330.832397, Intensity: 0.390000
'decorative', Angle: 327.231506, Intensity: 0.410000
'dedicate', Angle: 332.152405, Intensity: 0.480000
'dedication', Angle: 333.434937, Intensity: 0.480000
'deduce', Angle: 280.885529, Intensity: 0.420000
'defend', Angle: 298.460175, Intensity: 0.490000
'defender', Angle: 298.268524, Intensity: 0.480000
'defense', Angle: 298.237457, Intensity: 0.490000
'deference', Angle: 338.514557, Intensity: 0.400000
'definitive', Angle: 36.501442, Intensity: 0.250000
'delicacy', Angle: 25.346176, Intensity: 0.500000
'delicate', Angle: 22.899868, Intensity: 0.500000
'delight', Angle: 341.312653, Intensity: 0.580000
'delightful', Angle: 338.990326, Intensity: 0.590000
'dependability', Angle: 16.966146, Intensity: 0.490000
'dependable', Angle: 15.499275, Intensity: 0.490000
'descry', Angle: 295.277710, Intensity: 0.480000
'deserve', Angle: 268.430634, Intensity: 0.290000
'deservedly', Angle: 269.265472, Intensity: 0.310000
'desirable', Angle: 331.792511, Intensity: 0.500000
'desirous', Angle: 281.214905, Intensity: 0.470000
'devote', Angle: 298.044678, Intensity: 0.480000
'devotion', Angle: 298.017883, Intensity: 0.490000
'devout', Angle: 299.511505, Intensity: 0.490000
'dexterity', Angle: 332.393311, Intensity: 0.490000
'dig', Angle: NaN, Intensity: 0.000000
'dignified', Angle: 343.926422, Intensity: 0.490000
'dignify', Angle: 343.739807, Intensity: 0.500000
'dignity', Angle: 17.549004, Intensity: 0.490000
'diligent', Angle: 278.673187, Intensity: 0.480000
'discern', Angle: 295.484131, Intensity: 0.470000
'discreet', Angle: 21.370623, Intensity: 0.490000
