'fabulous', Angle: 12.121016, Intensity: 0.610000
'facilitate', Angle: 320.964478, Intensity: 0.380000
'factual', Angle: 33.690067, Intensity: 0.250000
'fairness', Angle: 24.851585, Intensity: 0.420000
'faith', Angle: 317.675415, Intensity: 0.610000
'faithful', Angle: 316.882294, Intensity: 0.600000
'faithfulness', Angle: 317.161072, Intensity: 0.600000
'fame', Angle: 348.419373, Intensity: 0.500000
'familiar', Angle: 15.865708, Intensity: 0.400000
'familiarity', Angle: 15.819195, Intensity: 0.500000
'familiarize', Angle: 322.266968, Intensity: 0.420000
'famous', Angle: 341.748108, Intensity: 0.400000
'fancy', Angle: 346.976929, Intensity: 0.600000
'fantastic', Angle: 347.310577, Intensity: 0.620000
'fantasy', Angle: 300.781158, Intensity: 0.500000
'farsighted', Angle: 300.650665, Intensity: 0.380000
'fascination', Angle: 321.220947, Intensity: 0.600000
'fashionable', Angle: 321.779572, Intensity: 0.410000
'favor', Angle: 339.062714, Intensity: 0.490000
'favorable', Angle: 337.594604, Intensity: 0.490000
'favorite', Angle: 354.522644, Intensity: 0.590000
'fearless', Angle: 319.258850, Intensity: 0.530000
'feasible', Angle: 356.074097, Intensity: 0.410000
'feast', Angle: 347.788483, Intensity: 0.550000
'fellowship', Angle: 347.347443, Intensity: 0.400000
'fertile', Angle: 17.409304, Intensity: 0.490000
'fervent', Angle: 300.434235, Intensity: 0.740000
'fervor', Angle: 298.363586, Intensity: 0.740000
'festival', Angle: 302.811371, Intensity: 0.360000
'festive', Angle: 345.650665, Intensity: 0.530000
'festivity', Angle: 343.539978, Intensity: 0.550000
'fidelity', Angle: 320.355835, Intensity: 0.550000
'fiery', Angle: 270.000000, Intensity: 0.610000
'filial', Angle: 80.537674, Intensity: 0.240000
'fine', Angle: NaN, Intensity: 0.000000
'firmness', Angle: 301.263733, Intensity: 0.390000
'fitness', Angle: 298.421204, Intensity: 0.390000
'flair', Angle: 343.300751, Intensity: 0.500000
'flashy', Angle: 269.530365, Intensity: 0.490000
'flatter', Angle: 210.960510, Intensity: 0.500000
'flattery', Angle: 210.579285, Intensity: 0.500000
'flawless', Angle: 359.602112, Intensity: 0.580000
'flexible', Angle: 318.366455, Intensity: 0.430000
'flirt', Angle: 276.441589, Intensity: 0.500000
'flourish', Angle: 335.422333, Intensity: 0.570000
'fluent', Angle: 354.889587, Intensity: 0.490000
'fond', Angle: 343.992615, Intensity: 0.510000
'fondness', Angle: 359.545288, Intensity: 0.500000
'foremost', Angle: 58.570435, Intensity: 0.250000
'foresight', Angle: 320.316895, Intensity: 0.490000
'forgave', Angle: 15.135836, Intensity: 0.510000
'forgive', Angle: 330.417053, Intensity: 0.510000
'forgiven', Angle: 360.000000, Intensity: 0.510000
'forgiveness', Angle: 330.186523, Intensity: 0.500000
'formality', Angle: 52.523819, Intensity: 0.450000
'fortify', Angle: 296.980225, Intensity: 0.490000
