'health', Angle: NaN, Intensity: 0.000000
'healthful', Angle: 14.931418, Intensity: 0.500000
'healthy', Angle: 14.931418, Intensity: 0.500000
'heartily', Angle: 333.638123, Intensity: 0.500000
'heaven', Angle: 319.085632, Intensity: 0.640000
'heavenly', Angle: 320.139771, Intensity: 0.540000
'help', Angle: 300.089691, Intensity: 0.490000
'helpful', Angle: 300.635406, Intensity: 0.480000
'hero', Angle: 296.933502, Intensity: 0.560000
'heroic', Angle: 295.267303, Intensity: 0.550000
'heroine', Angle: 296.748108, Intensity: 0.560000
'heroism', Angle: 296.375336, Intensity: 0.540000
'highlight', Angle: NaN, Intensity: 0.000000
'hilarious', Angle: 340.497559, Intensity: 0.610000
'holy', Angle: 14.293558, Intensity: 0.650000
'homage', Angle: 344.948792, Intensity: 0.490000
'home', Angle: 0.367276, Intensity: 0.620000
'honest', Angle: 10.508022, Intensity: 0.500000
'honeymoon', Angle: 333.938995, Intensity: 0.610000
'honor', Angle: 11.534621, Intensity: 0.600000
'honorable', Angle: 11.664920, Intensity: 0.630000
'hope', Angle: 320.486145, Intensity: 0.500000
'hopeful', Angle: 320.974335, Intensity: 0.490000
'hospitable', Angle: 299.281433, Intensity: 0.490000
'hug', Angle: 340.253174, Intensity: 0.500000
'human', Angle: NaN, Intensity: 0.000000
'humanitarian', Angle: 343.342163, Intensity: 0.530000
'humanity', Angle: 11.842076, Intensity: 0.510000
'humble', Angle: 270.000000, Intensity: 0.400000
'humility', Angle: 90.616058, Intensity: 0.370000
'humor', Angle: 331.127563, Intensity: 0.490000
'humorous', Angle: 331.169037, Intensity: 0.500000
'hygiene', Angle: 345.027130, Intensity: 0.360000
'ideal', Angle: 300.688965, Intensity: 0.570000
'idealism', Angle: 300.033295, Intensity: 0.590000
'idol', Angle: 296.916565, Intensity: 0.580000
'idolize', Angle: 298.610474, Intensity: 0.600000
'illuminate', Angle: 282.642151, Intensity: 0.440000
'illustrious', Angle: 12.121016, Intensity: 0.610000
'imagination', Angle: 299.687195, Intensity: 0.490000
'imaginative', Angle: 296.771149, Intensity: 0.500000
'immaculate', Angle: 15.524112, Intensity: 0.600000
'immortal', Angle: NaN, Intensity: 0.000000
'impartial', Angle: 18.725788, Intensity: 0.500000
'impartiality', Angle: 18.579271, Intensity: 0.500000
'imperative', Angle: 281.768280, Intensity: 0.490000
'impervious', Angle: NaN, Intensity: 0.000000
'impetus', Angle: 280.054321, Intensity: 0.570000
'importance', Angle: 29.407188, Intensity: 0.510000
'important', Angle: 29.407188, Intensity: 0.510000
'impress', Angle: 300.323608, Intensity: 0.490000
'impressive', Angle: 299.919220, Intensity: 0.490000
'improve', Angle: 279.540375, Intensity: 0.480000
'improvement', Angle: 279.235565, Intensity: 0.500000
'impunity', Angle: 13.851418, Intensity: 0.600000
'inaugurate', Angle: 337.770386, Intensity: 0.500000
'inauguration', Angle: 337.693787, Intensity: 0.510000
'independence', Angle: 31.087503, Intensity: 0.640000
'independent', Angle: 27.724056, Intensity: 0.620000
'indescribable', Angle: 90.000000, Intensity: 0.350000
'indicative', Angle: NaN, Intensity: 0.000000
