'patriot', Angle: 279.246124, Intensity: 0.350000
'patriotic', Angle: 280.420715, Intensity: 0.350000
'patron', Angle: 310.914368, Intensity: 0.400000
'patronage', Angle: 310.971741, Intensity: 0.400000
'peace', Angle: 22.145180, Intensity: 0.740000
'peaceable', Angle: 22.153345, Intensity: 0.600000
'peaceful', Angle: 22.359694, Intensity: 0.610000
'peerless', Angle: 14.370001, Intensity: 0.500000
'perfect', Angle: 21.457981, Intensity: 0.740000
'perfection', Angle: 19.867044, Intensity: 0.510000
'perfume', Angle: 1.123303, Intensity: 0.410000
'permission', Angle: 360.000000, Intensity: 0.280000
'permit', Angle: 360.000000, Intensity: 0.280000
'perseverance', Angle: 302.927856, Intensity: 0.500000
'persevere', Angle: 304.954681, Intensity: 0.500000
'persuasive', Angle: 279.766693, Intensity: 0.500000
'pertinent', Angle: NaN, Intensity: 0.000000
'picturesque', Angle: 7.495858, Intensity: 0.610000
'piety', Angle: 21.037512, Intensity: 0.500000
'pinnacle', Angle: NaN, Intensity: 0.000000
'pious', Angle: 346.414001, Intensity: 0.490000
'plausibility', Angle: NaN, Intensity: 0.000000
'playful', Angle: 326.567444, Intensity: 0.490000
'playmate', Angle: 22.833654, Intensity: 0.490000
'pleasant', Angle: 345.411072, Intensity: 0.600000
'pleasantry', Angle: 333.434937, Intensity: 0.490000
'pleased', Angle: 348.948547, Intensity: 0.520000
'pleasurable', Angle: 345.068573, Intensity: 0.500000
'pleasure', Angle: 346.628662, Intensity: 0.500000
'pledge', Angle: 335.979736, Intensity: 0.400000
'plentiful', Angle: 360.000000, Intensity: 0.500000
'plenty', Angle: 0.462053, Intensity: 0.500000
'poetic', Angle: 11.040940, Intensity: 0.500000
'poise', Angle: 344.427460, Intensity: 0.510000
'polish', Angle: 344.623749, Intensity: 0.500000
'polite', Angle: 345.515259, Intensity: 0.500000
'politeness', Angle: 345.850525, Intensity: 0.490000
'popular', Angle: 19.160173, Intensity: 0.500000
'popularity', Angle: 19.311857, Intensity: 0.500000
'portable', Angle: NaN, Intensity: 0.000000
'positive', Angle: 360.000000, Intensity: 0.000000
'positiveness', Angle: NaN, Intensity: 0.000000
'positivity', Angle: NaN, Intensity: 0.000000
'potency', Angle: 10.007980, Intensity: 0.410000
'potent', Angle: 284.264526, Intensity: 0.490000
'practicable', Angle: 360.000000, Intensity: 0.370000
