'reconcile', Angle: 331.352386, Intensity: 0.490000
'reconciliation', Angle: 331.352386, Intensity: 0.490000
'recreation', Angle: 315.651062, Intensity: 0.500000
'redeem', Angle: 280.491486, Intensity: 0.440000
'redemption', Angle: 281.560120, Intensity: 0.540000
'reestablish', Angle: 283.815033, Intensity: 0.500000
'refine', Angle: 281.427094, Intensity: 0.380000
'refinement', Angle: 278.447540, Intensity: 0.410000
'refuge', Angle: 0.830316, Intensity: 0.550000
'regal', Angle: 22.479435, Intensity: 0.500000
'rehabilitation', Angle: 299.919220, Intensity: 0.490000
'reinforcement', Angle: NaN, Intensity: 0.000000
'reinstate', Angle: 298.651825, Intensity: 0.440000
'rejoice', Angle: 333.954224, Intensity: 0.590000
'relaxation', Angle: 41.820168, Intensity: 0.510000
'relevance', Angle: 73.570702, Intensity: 0.330000
'relevancy', Angle: 73.162529, Intensity: 0.320000
'relevant', Angle: 73.101349, Intensity: 0.330000
'reliability', Angle: 24.710800, Intensity: 0.500000
'reliable', Angle: 24.057348, Intensity: 0.490000
'relish', Angle: 337.520569, Intensity: 0.500000
'remarkable', Angle: 14.257035, Intensity: 0.500000
'remarkably', Angle: 14.370001, Intensity: 0.500000
'remedy', Angle: 299.281433, Intensity: 0.490000
'remodel', Angle: 279.272614, Intensity: 0.400000
'renaissance', Angle: 278.746155, Intensity: 0.420000
'renewal', Angle: 280.353333, Intensity: 0.420000
'renovate', Angle: 280.551819, Intensity: 0.420000
'renovation', Angle: 280.972229, Intensity: 0.400000
'renown', Angle: 23.259220, Intensity: 0.500000
'repair', Angle: 280.304840, Intensity: 0.400000
'reparation', Angle: 280.407715, Intensity: 0.400000
'repent', Angle: 360.000000, Intensity: 0.500000
'repentance', Angle: 0.462053, Intensity: 0.500000
'repose', Angle: 43.069412, Intensity: 0.500000
'reputable', Angle: 36.869896, Intensity: 0.500000
'rescue', Angle: 300.699738, Intensity: 0.600000
'resolute', Angle: 345.398743, Intensity: 0.490000
'resolve', Angle: 280.988647, Intensity: 0.420000
'resolved', Angle: 280.988647, Intensity: 0.420000
'resound', Angle: NaN, Intensity: 0.000000
'resourceful', Angle: 319.248444, Intensity: 0.500000
'resourcefulness', Angle: 319.899109, Intensity: 0.500000
'respect', Angle: 330.767181, Intensity: 0.500000
'respectable', Angle: 27.588079, Intensity: 0.500000
'respectful', Angle: 330.312805, Intensity: 0.490000
'respite', Angle: 38.873066, Intensity: 0.500000
'resplendent', Angle: 20.784863, Intensity: 0.590000
'responsibility', Angle: NaN, Intensity: 0.000000
'responsible', Angle: 26.154337, Intensity: 0.500000
'responsive', Angle: 0.590657, Intensity: 0.390000
'restful', Angle: 38.589157, Intensity: 0.510000
'restoration', Angle: 281.093719, Intensity: 0.420000
'restore', Angle: 280.105042, Intensity: 0.410000
'resurrect', Angle: 326.203430, Intensity: 0.600000
'reunion', Angle: 344.054596, Intensity: 0.500000
