'(pronoun/name) was buried', Angle: 168.023865, Intensity: 0.400000
'a rough time', Angle: 187.247269, Intensity: 0.700000
'abandon', Angle: NaN, Intensity: 0.000000
'all hell breaks loose', Angle: 222.913223, Intensity: 0.700000
'all hell broke loose', Angle: 223.137375, Intensity: 0.700000
'are you nuts', Angle: 202.796524, Intensity: 0.600000
'as crazy as they come', Angle: 191.611481, Intensity: 0.600000
'bad', Angle: 180.000000, Intensity: 0.600000
'bad health', Angle: 171.607071, Intensity: 0.490000
'blocked (me/her/him/us/them)', Angle: 190.980652, Intensity: 0.550000
'blow out of proportion', Angle: 198.434952, Intensity: 0.400000
'blow smoke', Angle: 195.708633, Intensity: 0.400000
'bone head', Angle: 180.000000, Intensity: 0.700000
'boot (pronoun) out', Angle: 202.442749, Intensity: 0.600000
'break (his/her/my/their) word', Angle: 168.840057, Intensity: 0.600000
'break (me/her/him/us/them) down', Angle: 191.159943, Intensity: 0.600000
'break (my/her/his) back', Angle: 207.079666, Intensity: 0.600000
'break a law', Angle: 208.412659, Intensity: 0.550000
'break down and cry', Angle: 168.407822, Intensity: 0.800000
'break in on', Angle: 222.913223, Intensity: 0.700000
'break off', Angle: 225.806931, Intensity: 0.600000
'break off with', Angle: 202.649124, Intensity: 0.600000
'break out in tears ', Angle: 169.724640, Intensity: 0.700000
'break out into tears ', Angle: 169.139191, Intensity: 0.700000
'break the law', Angle: 206.565048, Intensity: 0.550000
'break up with', Angle: 225.806931, Intensity: 0.600000
'break wind', Angle: 186.556946, Intensity: 0.350000
'buckle under', Angle: 205.101608, Intensity: 0.490000
'building fire', Angle: NaN, Intensity: 0.000000
'choke off', Angle: 195.945389, Intensity: 0.550000
'company entered liquidation', Angle: 195.819199, Intensity: 0.500000
'company had entered liquidation', Angle: 199.025604, Intensity: 0.490000
'company liquidation', Angle: 199.746841, Intensity: 0.500000
'complete farce', Angle: 173.829834, Intensity: 0.450000
'condone breaking the law', Angle: 191.309937, Intensity: 0.450000
'condone using illegal', Angle: 191.915146, Intensity: 0.450000
'condone violating', Angle: 195.030426, Intensity: 0.450000
'condone violence', Angle: 193.416183, Intensity: 0.450000
'confusing', Angle: 185.069427, Intensity: 0.500000
'cost (me/you/her/him/us/them) dear', Angle: 176.947113, Intensity: 0.600000
'cost (me/you/her/him/us/them) dearly', Angle: 176.926666, Intensity: 0.600000
'crazy in the head', Angle: 199.983109, Intensity: 0.700000
'descent into madness', Angle: 205.534134, Intensity: 0.700000
'drive (me/you/her/him/us/them) crazy ', Angle: 225.806931, Intensity: 0.600000
'drive (me/you/her/him/us/them) nuts', Angle: 231.821152, Intensity: 0.600000
'dummy', Angle: 167.876251, Intensity: 0.550000
'everlasting pain', Angle: 190.259216, Intensity: 0.900000
'everlasting suffering', Angle: 195.143860, Intensity: 0.900000
'extinguish any excitement', Angle: 202.492615, Intensity: 0.550000
'extinguish any hope', Angle: 201.954407, Intensity: 0.560000
'extinguish excitement', Angle: 212.182632, Intensity: 0.550000
'extinguish hope', Angle: 212.312485, Intensity: 0.550000
'extinguish joy', Angle: 212.312485, Intensity: 0.550000
'fabricate a lie', Angle: 186.061783, Intensity: 0.450000
'fabricate a story', Angle: 186.620773, Intensity: 0.450000
'fabricate excuses', Angle: 187.125015, Intensity: 0.450000
'fabricate lies', Angle: 187.125015, Intensity: 0.450000
'fall into madness', Angle: 204.798126, Intensity: 0.700000
'feel stress', Angle: 186.594513, Intensity: 0.700000
'final conviction in', Angle: 184.624146, Intensity: 0.550000
'fire (name/pronoun)', Angle: 226.484009, Intensity: 0.550000
'fluff', Angle: 203.416031, Intensity: 0.550000
'forest fire', Angle: 235.762543, Intensity: 0.350000
'get the boot', Angle: 207.245087, Intensity: 0.600000
'give (pronoun) the boot', Angle: 227.442413, Intensity: 0.600000
'go nuts', Angle: NaN, Intensity: 0.000000
'grave danger', Angle: 232.954224, Intensity: 1.000000
'grave situation', Angle: 185.505478, Intensity: 1.000000
'great worry', Angle: 225.538818, Intensity: 0.900000
'has no principles', Angle: 155.897766, Intensity: 0.500000
'have stress', Angle: 209.744888, Intensity: 0.550000
'he is nuts', Angle: NaN, Intensity: 0.000000
'homely child', Angle: 163.009186, Intensity: 0.600000
'homely face', Angle: 162.531982, Intensity: 0.600000
'horde of mosquitoes', Angle: 193.956451, Intensity: 0.700000
'impervious to feelings of others', Angle: 158.008881, Intensity: 0.450000
'impervious to reason ', Angle: 133.549774, Intensity: 0.450000
'in default of', Angle: 128.480194, Intensity: 0.400000
'in default on', Angle: 157.557251, Intensity: 0.400000
'involuntary manslaugter', Angle: 234.196655, Intensity: 0.600000
'involuntary participant', Angle: 197.271744, Intensity: 0.500000
'involuntary resettlement', Angle: 208.767654, Intensity: 0.700000
'involuntary servitude', Angle: 208.767654, Intensity: 0.700000
'kick (me/you/her/him/us/them) out', Angle: 247.956573, Intensity: 0.700000
'kick (my/your/her/his/our/their) ass', Angle: 245.339233, Intensity: 0.700000
'kick about', Angle: 247.956573, Intensity: 0.700000
'kick in the teeth', Angle: 245.339233, Intensity: 0.700000
'kick the bucket', Angle: 180.000000, Intensity: 0.900000
'lack of principles', Angle: 159.977921, Intensity: 0.500000
