'absolutely right', Angle: 347.719055, Intensity: 0.600000
'alive and kicking', Angle: 322.825745, Intensity: 0.600000
'all right', Angle: 65.772255, Intensity: 0.350000
'amazing', Angle: 344.475891, Intensity: 0.600000
'among the greats', Angle: 26.565050, Intensity: 0.500000
'answer the question right', Angle: 30.963758, Intensity: 0.400000
'as keen as mustard', Angle: 316.862610, Intensity: 0.700000
'attachment to a region', Angle: 340.836761, Intensity: 0.600000
'break a code', Angle: 316.618103, Intensity: 0.500000
'break a record', Angle: 307.476196, Intensity: 0.600000
'break new ground', Angle: 328.116425, Intensity: 0.600000
'break the ice', Angle: 341.420715, Intensity: 0.500000
'breakthrough', Angle: 298.274872, Intensity: 0.600000
'buckle down', Angle: 295.364410, Intensity: 0.600000
'bury the hatchet', Angle: 345.149658, Intensity: 0.550000
'care for', Angle: 339.590118, Intensity: 0.550000
'congratulations', Angle: 349.098724, Intensity: 0.550000
'conviction in god', Angle: 337.229614, Intensity: 0.700000
'conviction in god's', Angle: 335.937286, Intensity: 0.700000
'craze for', Angle: 319.184906, Intensity: 0.700000
'crazy about', Angle: 318.721313, Intensity: 0.700000
'cut (me/you/her/him/us/them) a break', Angle: 339.285828, Intensity: 0.510000
'do wonders', Angle: 324.462311, Intensity: 0.550000
'everlasting happiness', Angle: 352.026001, Intensity: 1.000000
'everlasting love', Angle: 349.819489, Intensity: 1.000000
'exciting', Angle: 315.806946, Intensity: 0.600000
'extinguish fire', Angle: 299.538788, Intensity: 0.550000
'extinguish flames', Angle: 298.244263, Intensity: 0.550000
'firefighters extinguish', Angle: 297.588074, Intensity: 0.500000
'get (my/your/her/his/our/their) kicks from', Angle: 296.358215, Intensity: 0.500000
'get a kick out of', Angle: 326.309937, Intensity: 0.550000
'give (her/him/us/them) a break', Angle: NaN, Intensity: 0.000000
'good health', Angle: 8.075897, Intensity: 0.600000
'great at', Angle: 5.748663, Intensity: 0.600000
'great leader', Angle: 10.137804, Intensity: 0.610000
'great time', Angle: 16.735996, Intensity: 0.600000
'great with', Angle: 17.102728, Intensity: 0.600000
'health food', Angle: 63.434952, Intensity: 0.350000
'heart in the right place', Angle: 32.295975, Intensity: 0.500000
'highlight [n]', Angle: 11.551006, Intensity: 0.560000
'hit the nail on the head', Angle: 23.916246, Intensity: 0.500000
